,open,high,low,close,open_vix,year,month,day
0,990.22,1003.61,990.22,1002.63,25.92,2009,8,3
1,1001.41,1007.12,996.68,1005.65,25.55,2009,8,4
2,1005.41,1006.64,994.31,1002.72,24.91,2009,8,5
3,1004.06,1008.0,992.49,997.08,24.89999,2009,8,6
4,999.83,1018.0,999.83,1010.48,24.71001,2009,8,7
5,1008.89,1010.12,1000.99,1007.1,24.75999,2009,8,10
6,1005.77,1005.77,992.4,994.35,24.98,2009,8,11
7,994.0,1012.78,993.36,1005.81,25.99001,2009,8,12
8,1005.86,1012.78,1001.02,1012.73,25.34,2009,8,13
9,1012.23,1012.6,994.6,1004.09,24.77,2009,8,14
10,998.18,998.18,978.51,979.73,24.27,2009,8,17
11,980.62,991.2,980.62,989.67,27.89,2009,8,18
12,986.88,999.61,980.62,996.46,28.08,2009,8,19
13,996.41,1008.92,996.39,1007.37,26.45,2009,8,20
14,1009.06,1027.59,1009.06,1026.13,24.49001,2009,8,21
15,1026.59,1035.82,1022.48,1025.57,25.00999,2009,8,24
16,1026.63,1037.75,1026.21,1028.0,25.13,2009,8,25
17,1027.35,1032.47,1021.57,1028.12,24.91,2009,8,26
18,1027.81,1033.33,1016.2,1030.98,25.13,2009,8,27
19,1031.62,1039.47,1023.13,1028.93,24.44,2009,8,28
20,1025.21,1025.21,1014.62,1020.62,24.75999,2009,8,31
21,1019.52,1028.45,996.28,998.04,26.00999,2009,9,1
22,996.07,1000.34,991.97,994.75,29.14,2009,9,2
23,996.12,1003.43,992.25,1003.24,28.89999,2009,9,3
24,1003.84,1016.48,1001.65,1016.4,26.98,2009,9,4
25,1018.67,1026.07,1018.67,1025.39,25.25999,2009,9,8
26,1025.36,1036.34,1023.97,1033.37,25.66,2009,9,9
27,1032.99,1044.14,1028.04,1044.14,24.39999,2009,9,10
28,1043.92,1048.18,1038.4,1042.73,23.49001,2009,9,11
29,1040.15,1049.74,1035.0,1049.34,25.39,2009,9,14
30,1049.03,1056.04,1043.42,1052.63,23.89999,2009,9,15
31,1053.99,1068.76,1052.87,1068.76,23.28999,2009,9,16
32,1067.87,1074.77,1061.2,1065.49,23.99001,2009,9,17
33,1066.6,1071.52,1064.27,1068.3,23.64999,2009,9,18
34,1067.14,1067.28,1057.46,1064.66,25.34,2009,9,21
35,1066.35,1073.81,1066.35,1071.66,23.81,2009,9,22
36,1072.68,1080.15,1060.39,1060.87,22.89999,2009,9,23
37,1062.56,1066.29,1045.85,1050.78,23.67,2009,9,24
38,1049.48,1053.47,1041.17,1044.38,25.17999,2009,9,25
39,1045.38,1065.13,1045.38,1062.98,26.25999,2009,9,28
40,1063.68,1069.62,1057.83,1060.61,24.88,2009,9,29
