year,month,day,open_vix,open,high,low,close
2025,2,13,24.92,6060.589844,6116.910156,6050.950195,6115.069824
2025,2,14,15.07999992,6115.52002,6127.470215,6107.620117,6114.629883
2025,2,18,15.56999969,6121.600098,6129.629883,6099.509766,6129.580078
2025,2,19,15.14000034,6117.759766,6147.430176,6111.149902,6144.149902
2025,2,20,15.60999966,6134.5,6134.5,6084.589844,6117.52002
2025,2,21,15.63000011,6114.100098,6114.819824,6008.560059,6013.129883
2025,2,24,18.07999992,6026.689941,6043.649902,5977.830078,5983.25
2025,2,25,19.09000015,5982.72998,5992.649902,5908.490234,5955.25
2025,2,26,18.95999908,5970.870117,6009.819824,5932.689941,5956.060059
2025,2,27,18.25,5981.879883,5993.689941,5858.779785,5861.569824
2025,2,28,21.20999908,5856.740234,5959.399902,5837.660156,5954.5
2025,3,3,19.82999992,5968.330078,5986.089844,5810.910156,5849.720215
2025,3,4,22.95999908,5811.97998,5865.080078,5732.589844,5778.149902
2025,3,5,23.03000069,5781.359863,5860.589844,5742.350098,5842.629883
2025,3,6,22.60000038,5785.870117,5812.080078,5711.640137,5738.52002
2025,3,7,24.85000038,5726.009766,5783.009766,5666.290039,5770.200195
2025,3,10,24.70000076,5705.370117,5705.370117,5564.02002,5614.560059
2025,3,11,27.94000053,5603.649902,5636.299805,5528.410156,5572.069824
2025,3,12,26.87999916,5624.839844,5642.189941,5546.089844,5599.299805
2025,3,13,24.92000008,5594.450195,5597.779785,5504.649902,5521.52002
2025,3,14,24.35000038,5563.850098,5645.27002,5563.850098,5638.939941
2025,3,17,22.88999939,5635.600098,5703.52002,5631.120117,5675.120117
2025,3,18,20.82999992,5654.529785,5654.529785,5597.759766,5614.660156
2025,3,19,21.84000015,5632.370117,5715.330078,5622.200195,5675.290039
2025,3,20,19.52000046,5646.919922,5711.149902,5632.330078,5662.890137
2025,3,21,20.02000046,5630.72998,5670.839844,5603.100098,5667.560059
2025,3,24,19.12999916,5718.080078,5775.140137,5718.080078,5767.569824
2025,3,25,17.57999992,5775.959961,5786.950195,5760.419922,5776.649902
2025,3,26,17.22999954,5771.660156,5783.620117,5694.410156,5712.200195
2025,3,27,18.36000061,5695.640137,5732.279785,5670.939941,5693.310059
